rcid,session,vote,ccode,Country,CABB
5311,68,1,390,Denmark,DEN
5311,68,1,110,Guyana,GUY
5311,68,1,395,Iceland,ICE
5311,68,1,771,Bangladesh,BNG
5311,68,8,80,Belize,BLZ
5311,68,1,830,Singapore,SIN
5311,68,1,790,Nepal,NEP
5311,68,8,520,Somalia,SOM
5311,68,1,368,Lithuania,LIT
5311,68,1,369,Ukraine,UKR
5311,68,1,366,Estonia,EST
5311,68,1,367,Latvia,LAT
5311,68,1,365,Russian Federation,RUS
5311,68,8,910,Papua New Guinea,PNG
5311,68,1,360,Romania,ROM
5311,68,1,580,Madagascar,MAG
5311,68,8,581,Comoros,COM
5311,68,1,305,Austria,AUS
5311,68,1,380,Sweden,SWD
5311,68,1,920,New Zealand,NEW
5311,68,1,385,Norway,NOR
5311,68,1,95,Panama,PAN
5311,68,1,696,United Arab Emirates,UAE
5311,68,1,100,Colombia,COL
5311,68,1,101,Venezuela,VEN
5311,68,1,900,Australia,AUL
5311,68,1,780,Sri Lanka,SRI
5311,68,1,781,Maldives,MAD
5311,68,8,840,Philippines,PHI
5311,68,8,31,Bahamas,BHM
5311,68,8,955,Tonga,TON
5311,68,1,640,Turkey,TUR
5311,68,1,645,Iraq,IRQ
5311,68,8,438,Guinea,GUI
5311,68,1,439,Burkina Faso,BFO
5311,68,1,436,Niger,NIR
5311,68,1,437,Cote d'Ivoire,CDI
5311,68,1,434,Benin,BEN
5311,68,1,435,Mauritania,MAA
5311,68,1,432,Mali,MLI
5311,68,1,433,Senegal,SEN
5311,68,1,517,Rwanda,RWA
5311,68,8,516,Burundi,BUI
5311,68,1,620,Libya,LIB
5311,68,1,339,Albania,ALB
5311,68,1,338,Malta,MLT
5311,68,8,625,Sudan,SUD
5311,68,1,450,Liberia,LBR
5311,68,8,451,Sierra Leone,SIE
5311,68,1,452,Ghana,GHA
5311,68,8,570,Lesotho,LES
5311,68,1,331,San Marino,SNM
5311,68,8,60,St. Kitts and Nevis,SKN
5311,68,1,541,Mozambique,MZM
5311,68,1,850,Indonesia,INS
5311,68,8,970,Nauru,NAU
5311,68,1,540,Angola,ANG
5311,68,8,731,North Korea,PRK
5311,68,3,2,United States of America,USA
5311,68,1,652,Syria,SYR
5311,68,1,651,Egypt,EGY
5311,68,1,500,Uganda,UGA
5311,68,3,402,Cape Verde,CAP
